PLAYER,ROUND,COURSE,HOLE_1,HOLE_2,HOLE_3,HOLE_4,HOLE_5,HOLE_6,HOLE_7,HOLE_8,HOLE_9,OUT,HOLE_10,HOLE_11,HOLE_12,HOLE_13,HOLE_14,HOLE_15,HOLE_16,HOLE_17,HOLE_18,IN,TOTAL,POS
Cameron Tankersley,1,Lake,5,4,4,4,3,3,5,3,4,35,4,4,5,3,3,3,4,5,3,34,69.0,
Cameron Tankersley,2,Ocean,5,3,5,5,2,6,4,4,4,38,3,5,4,3,4,5,4,3,4,35,73.0,
Kolton Crawford,1,Lake,4,3,4,3,5,4,4,5,5,37,3,4,5,3,3,3,6,4,4,35,72.0,
Kolton Crawford,2,Ocean,4,4,5,5,3,3,4,3,3,34,3,4,4,4,5,5,4,3,4,36,70.0,
Ben James,1,Ocean,5,3,3,5,3,4,4,3,5,35,3,5,4,4,4,4,5,3,5,37,72.0,
Ben James,2,Lake,5,4,3,4,4,5,4,2,4,35,4,4,5,3,3,3,7,3,3,35,70.0,
Cooper Claycomb,1,Ocean,4,4,4,4,3,4,4,4,4,35,3,6,4,4,4,4,4,3,5,37,72.0,
Cooper Claycomb,2,Lake,4,4,2,5,5,4,3,5,4,36,4,3,4,3,4,2,5,5,4,34,70.0,
Luke Colton,1,Lake,4,4,3,5,5,3,4,3,4,35,4,4,4,3,4,3,5,5,3,35,70.0,
Luke Colton,2,Ocean,4,3,5,4,2,6,3,4,5,36,3,5,5,4,4,4,4,3,4,36,72.0,
Ryan Voois,1,Ocean,4,4,3,4,3,4,4,3,4,33,3,5,4,5,4,5,4,3,5,38,71.0,
Ryan Voois,2,Lake,4,4,4,6,5,4,3,4,4,38,4,3,4,2,4,2,4,6,5,34,72.0,
Emil Riegger,1,Lake,5,4,3,5,5,5,3,4,4,38,5,4,4,3,3,3,4,3,5,34,72.0,
Emil Riegger,2,Ocean,5,3,4,5,4,4,4,4,4,37,3,5,4,3,4,4,4,3,4,34,71.0,
Zachary Miller,1,Ocean,4,3,4,5,3,4,4,4,4,35,3,4,4,5,4,4,4,3,4,35,70.0,
Zachary Miller,2,Lake,5,5,4,5,3,5,4,3,4,38,3,4,4,3,3,3,6,5,4,35,73.0,
Payne Denman,1,Lake,6,4,4,4,4,4,5,3,3,37,4,3,4,3,4,2,5,5,4,34,71.0,
Payne Denman,2,Ocean,4,3,3,4,3,4,4,5,6,36,3,6,4,4,4,4,4,3,4,36,72.0,
Marek Fleming,1,Lake,5,4,4,5,5,3,4,4,4,38,4,5,4,3,4,3,5,5,4,37,75.0,
Marek Fleming,2,Ocean,5,3,5,4,2,5,4,4,4,36,3,4,4,3,4,4,4,3,3,32,68.0,
Caleb Bond,1,Ocean,4,3,4,5,4,5,4,4,4,37,3,5,5,5,4,4,4,3,5,38,75.0,
Caleb Bond,2,Lake,4,3,4,4,4,4,4,2,4,33,4,4,4,3,4,3,4,4,5,35,68.0,
Filip Jakubcik,1,Ocean,5,4,4,4,2,4,5,4,4,36,3,5,5,3,5,4,4,4,5,38,74.0,
Filip Jakubcik,2,Lake,3,4,4,5,4,4,3,3,4,34,5,3,4,3,4,4,5,4,3,35,69.0,
Mason Howell,1,Lake,5,4,3,4,5,4,4,4,4,37,4,4,4,3,4,2,4,5,3,33,70.0,
Mason Howell,2,Ocean,5,3,4,5,3,5,4,4,3,36,3,5,4,5,5,4,4,3,4,37,73.0,
Joshua Bai,1,Lake,5,4,4,5,4,5,4,4,4,39,4,4,5,3,4,3,5,5,4,37,76.0,
Joshua Bai,2,Ocean,4,3,3,5,2,4,4,4,4,33,3,4,4,5,4,3,3,3,5,34,67.0,
